id,name,description,address,locality,region,latitude,longitude,openingHours,access,wheelchair,babyChange,unisex,male,female,drinkingWater,fee,operator,source,sourceId,sourceIds,sourceUrl,confidence,lastVerified
osm-node-1815320094,Public toilet,,,,,-41.5491065,173.9490256,Unknown,unknown,,,,,,,,,OpenStreetMap,node/1815320094,node/1815320094,https://www.openstreetmap.org/node/1815320094,0.55,
osm-node-1815434593,Public toilet,,,,,-43.6310471,171.3006685,Unknown,unknown,,,,,,,,,OpenStreetMap,node/1815434593,node/1815434593,https://www.openstreetmap.org/node/1815434593,0.55,
osm-node-1827256626,Public toilet,,,,,-40.6258008,175.2813111,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/1827256626,node/1827256626,https://www.openstreetmap.org/node/1827256626,0.65,
osm-node-1862561086,Public toilet,,,,,-40.458147,175.2159402,Unknown,public,true,false,,,,,,,OpenStreetMap,node/1862561086,node/1862561086,https://www.openstreetmap.org/node/1862561086,0.7,
osm-node-1862579319,Public toilet,,,,,-40.5933238,175.1853613,Unknown,unknown,,,,,,,,,OpenStreetMap,node/1862579319,node/1862579319,https://www.openstreetmap.org/node/1862579319,0.55,
osm-node-1871970201,Public toilet,,,,,-40.6658936,175.3033739,Unknown,unknown,,,,,,,,,OpenStreetMap,node/1871970201,node/1871970201,https://www.openstreetmap.org/node/1871970201,0.55,
osm-node-1913939155,Public toilet,,,,,-40.4513521,175.8423123,Unknown,public,true,true,,,,,,,OpenStreetMap,node/1913939155,node/1913939155,https://www.openstreetmap.org/node/1913939155,0.7,2024-08-01
osm-node-1919908531,Public toilet,,,,,-36.9120503,174.8716195,Unknown,unknown,,,,,,,,,OpenStreetMap,node/1919908531,node/1919908531,https://www.openstreetmap.org/node/1919908531,0.55,
osm-node-1930489454,Public toilet,,,,,-40.2221421,175.5829922,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/1930489454,node/1930489454,https://www.openstreetmap.org/node/1930489454,0.55,
osm-node-1930489625,Public toilet,,,,,-40.2253203,175.580969,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/1930489625,node/1930489625,https://www.openstreetmap.org/node/1930489625,0.55,
